Name,GK,CB,CM,ST,RW,LB
Cristiano Ronaldo,11.6,53.0,82.0,92.0,91.0,61.0
L. Messi,10.8,45.0,84.0,88.0,91.0,57.0
Neymar,11.8,46.0,79.0,84.0,89.0,59.0
L. Suárez,30.6,58.0,80.0,88.0,87.0,64.0
M. Neuer,91.2,,,,,
R. Lewandowski,10.2,57.0,78.0,88.0,84.0,58.0
De Gea,87.6,,,,,
E. Hazard,9.0,47.0,81.0,82.0,88.0,59.0
T. Kroos,10.2,72.0,87.0,77.0,80.0,76.0
G. Higuaín,7.8,46.0,71.0,87.0,82.0,51.0
Sergio Ramos,9.2,87.0,74.0,72.0,69.0,84.0
K. De Bruyne,11.2,57.0,84.0,81.0,85.0,66.0
T. Courtois,83.8,,,,,
A. Sánchez,12.0,56.0,79.0,83.0,86.0,62.0
L. Modrić,10.4,72.0,86.0,76.0,83.0,78.0
G. Bale,10.4,67.0,81.0,87.0,87.0,72.0
S. Agüero,11.8,44.0,75.0,86.0,86.0,52.0
G. Chiellini,3.0,86.0,60.0,59.0,56.0,78.0
G. Buffon,85.0,,,,,
P. Dybala,5.2,43.0,78.0,83.0,87.0,55.0
J. Oblak,84.4,,,,,
A. Griezmann,12.6,48.0,76.0,85.0,86.0,56.0
Thiago,9.2,66.0,85.0,77.0,83.0,72.0
P. Aubameyang,9.6,52.0,74.0,85.0,84.0,62.0
L. Bonucci,2.6,86.0,75.0,65.0,63.0,79.0
J. Boateng,9.0,85.0,73.0,65.0,65.0,81.0
D. Godín,9.8,86.0,69.0,64.0,61.0,79.0
M. Hummels,8.4,85.0,77.0,69.0,68.0,80.0
M. Özil,10.0,41.0,79.0,76.0,83.0,52.0
H. Lloris,82.8,,,,,
Thiago Silva,9.0,85.0,77.0,67.0,68.0,81.0
Z. Ibrahimović,11.8,52.0,78.0,84.0,82.0,54.0
A. Robben,9.8,47.0,78.0,82.0,87.0,58.0
N. Kanté,10.8,81.0,81.0,72.0,76.0,82.0
M. Verratti,12.8,77.0,85.0,69.0,78.0,79.0
P. Pogba,4.0,74.0,84.0,81.0,82.0,75.0
C. Eriksen,8.6,53.0,83.0,77.0,83.0,64.0
A. Vidal,3.2,84.0,83.0,81.0,80.0,83.0
E. Cavani,10.6,58.0,74.0,84.0,80.0,61.0
Marcelo,7.2,82.0,80.0,77.0,80.0,84.0
M. Hamšík,9.2,71.0,85.0,81.0,83.0,75.0
I. Rakitić,10.2,64.0,84.0,78.0,81.0,69.0
David Silva,1.0,50.0,81.0,75.0,82.0,59.0
S. Handanovič,83.2,,,,,
Piqué,11.6,84.0,74.0,69.0,66.0,78.0
Iniesta,9.0,63.0,84.0,76.0,84.0,69.0
H. Kane,10.8,57.0,74.0,84.0,79.0,60.0
J. Rodríguez,12.8,53.0,79.0,80.0,83.0,61.0
Isco,10.2,61.0,84.0,79.0,83.0,67.0
D. Alaba,10.0,80.0,81.0,77.0,80.0,83.0
R. Lukaku,10.8,53.0,71.0,84.0,78.0,56.0
Alex Sandro,8.0,81.0,78.0,75.0,78.0,84.0
T. Müller,10.4,58.0,78.0,83.0,81.0,66.0
Sergio Busquets,9.6,80.0,81.0,68.0,70.0,76.0
Coutinho,9.6,49.0,79.0,77.0,84.0,60.0
M. Reus,12.2,52.0,80.0,82.0,86.0,63.0
T. Alderweireld,13.2,84.0,74.0,67.0,65.0,79.0
David Luiz,10.8,83.0,75.0,69.0,69.0,79.0
Diego Costa,11.0,57.0,71.0,83.0,77.0,58.0
R. Nainggolan,11.0,81.0,84.0,80.0,81.0,83.0
Javi Martínez,9.0,84.0,72.0,67.0,63.0,76.0
D. Mertens,7.8,47.0,78.0,78.0,86.0,60.0
Sokratis,7.2,84.0,63.0,64.0,59.0,77.0
Miranda,10.6,84.0,67.0,63.0,61.0,77.0
K. Benzema,8.2,44.0,72.0,83.0,83.0,51.0
Cesc Fàbregas,10.8,64.0,83.0,77.0,80.0,70.0
F. Ribéry,9.4,42.0,78.0,77.0,84.0,55.0
Pepe,9.4,83.0,63.0,61.0,58.0,75.0
P. Čech,81.8,,,,,
Y. Carrasco,9.8,45.0,74.0,79.0,84.0,56.0
R. Varane,10.0,83.0,69.0,62.0,61.0,77.0
Casemiro,13.4,83.0,79.0,72.0,69.0,78.0
L. Insigne,9.0,39.0,77.0,76.0,85.0,55.0
A. Lacazette,7.4,54.0,74.0,83.0,82.0,59.0
K. Navas,81.2,,,,,
H. Mkhitaryan,8.4,62.0,80.0,79.0,84.0,70.0
D. Subašić,82.8,,,,,
B. Leno,82.2,,,,,
M. ter Stegen,84.2,,,,,
K. Glik,9.4,83.0,55.0,52.0,45.0,72.0
Jordi Alba,12.0,78.0,78.0,75.0,80.0,83.0
I. Gündoğan,9.6,69.0,83.0,76.0,81.0,73.0
Azpilicueta,8.6,83.0,76.0,68.0,71.0,84.0
A. Di María,10.2,58.0,78.0,77.0,83.0,66.0
M. Pjanić,8.4,70.0,83.0,74.0,80.0,75.0
C. Marchisio,3.4,77.0,83.0,76.0,80.0,79.0
J. Vertonghen,8.8,83.0,74.0,70.0,69.0,80.0
B. Matuidi,9.6,82.0,79.0,73.0,75.0,82.0
S. Ruffier,83.0,,,,,
Filipe Luís,9.8,80.0,77.0,72.0,75.0,83.0
V. Kompany,7.6,82.0,67.0,63.0,61.0,76.0
A. Barzagli,3.2,83.0,63.0,53.0,55.0,75.0
E. Bailly,11.0,83.0,65.0,60.0,61.0,77.0
Marco Asensio,10.0,50.0,78.0,77.0,81.0,60.0
Bernardo Silva,10.8,53.0,79.0,75.0,83.0,63.0
A. Laporte,9.0,83.0,69.0,64.0,61.0,78.0
D. Alli,8.2,69.0,81.0,81.0,81.0,72.0
S. Mané,11.2,51.0,74.0,79.0,83.0,60.0
Carvajal,13.0,81.0,73.0,65.0,72.0,83.0
J. Draxler,10.0,49.0,77.0,80.0,83.0,57.0
M. Icardi,8.6,46.0,67.0,82.0,75.0,49.0
Morata,4.4,45.0,70.0,82.0,80.0,51.0
K. Koulibaly,8.6,83.0,55.0,51.0,48.0,74.0
T. Horn,83.0,,,,,
Koke,10.8,67.0,82.0,77.0,80.0,71.0
K. Manolas,9.8,83.0,56.0,49.0,49.0,76.0
S. Mustafi,10.2,82.0,68.0,65.0,62.0,76.0
Ander Herrera,10.6,78.0,83.0,75.0,79.0,80.0
K. Strootman,8.6,79.0,83.0,76.0,77.0,78.0
Pedro,10.4,50.0,77.0,77.0,83.0,60.0
R. Bürki,80.8,,,,,
Bruno,10.2,78.0,82.0,71.0,71.0,74.0
I. Perišić,7.6,56.0,76.0,81.0,82.0,64.0
E. Džeko,12.6,49.0,73.0,82.0,76.0,52.0
Willian,11.8,55.0,80.0,74.0,83.0,68.0
S. Khedira,9.6,81.0,82.0,77.0,76.0,78.0
R. Fährmann,78.6,,,,,
Sergio Asenjo,82.4,,,,,
Juan Mata,9.2,45.0,78.0,76.0,81.0,55.0
M. Benatia,7.4,82.0,62.0,60.0,58.0,75.0
D. Payet,12.2,51.0,79.0,78.0,83.0,60.0
Falcao,8.6,54.0,71.0,82.0,76.0,54.0
L. Koscielny,10.2,82.0,67.0,58.0,60.0,78.0
G. Cahill,8.6,82.0,65.0,64.0,58.0,73.0
Dani Alves,7.6,76.0,80.0,74.0,79.0,81.0
A. Gómez,9.2,45.0,77.0,76.0,85.0,59.0
Aduriz,11.4,60.0,69.0,83.0,75.0,58.0
K. Mbappé,8.4,58.0,75.0,82.0,82.0,64.0
O. Dembélé,9.8,45.0,74.0,76.0,83.0,58.0
N. Keïta,11.8,65.0,82.0,74.0,80.0,71.0
J. Giménez,10.4,82.0,57.0,56.0,51.0,75.0
G. Rulli,81.4,,,,,
T. Lemar,12.0,66.0,78.0,77.0,82.0,72.0
João Mário,9.0,70.0,81.0,74.0,79.0,74.0
N. Süle,11.6,81.0,60.0,56.0,48.0,73.0
Ederson,80.8,,,,,
Fabinho,9.4,82.0,77.0,72.0,74.0,82.0
M. Salah,12.4,56.0,75.0,78.0,83.0,64.0
A. Belotti,10.6,51.0,65.0,82.0,75.0,52.0
E. Forsberg,11.0,45.0,76.0,74.0,81.0,55.0
Marquinhos,9.4,82.0,70.0,60.0,63.0,80.0
William Carvalho,9.0,79.0,79.0,67.0,69.0,75.0
S. Umtiti,13.2,81.0,73.0,69.0,69.0,79.0
R. Mahrez,10.8,41.0,74.0,74.0,82.0,54.0
V. van Dijk,11.6,82.0,71.0,67.0,65.0,77.0
Roberto Firmino,8.8,58.0,79.0,81.0,82.0,63.0
